point,altitude_ft,freestream_mach,rpm,thrust_lbf,mass_flow_kg_s,t4_degR,inlet_area_m2,compressor_exit_area_m2,impeller_diameter_m
DESIGN,0.0,0.1,3000.0,224.79996223649525,1.4588926653033132,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD0,0.0,0.05,2999.7191226214045,229.16770416886558,1.4535574952880084,2199.9999999999995,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD1,200.0,0.075,2998.430194010182,225.5857281210517,1.4464931885986145,2199.9999999999995,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD2,400.0,0.1,2998.6619636025516,222.36121932420696,1.440961919461871,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD3,600.0,0.15,2997.517410858028,217.55038810011945,1.4405757742127274,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD4,800.0,0.175,2997.5031642488543,214.8846767191875,1.437440840735776,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD5,1000.0,0.2,2997.5756048341514,212.39654690272985,1.4350947351452361,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD6,1200.0,0.25,2998.600866153273,208.83642791881633,1.4405428135742009,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD7,1400.0,0.3,3000.089378684086,205.90655763596396,1.4491708408669994,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD8,1600.0,0.35,3000.7847639888805,203.89092076096787,1.4624401874727084,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
OD9,1800.0,0.4,3001.907718946317,202.46684228068762,1.4791096402881438,2200.0,0.007089026619635251,0.0306463154412658,0.1975350620022872
